Minute,,Assist
85,Right-footed shot,
85,Right-footed shot,
85,Right-footed shot,
85,Right-footed shot,
85,Right-footed shot,
85,Right-footed shot,
85,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
86,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
87,Right-footed shot,
88,Right-footed shot,
88,Right-footed shot,
88,Right-footed shot,
88,Right-footed shot,
88,Right-footed shot,
88,Right-footed shot,
88,Right-footed shot,
88,Right-footed shot,
89,Right-footed shot,
89,Right-footed shot,
89,Right-footed shot,
89,Right-footed shot,
89,Right-footed shot,
89,Right-footed shot,
89,Right-footed shot,
89,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
90,Right-footed shot,
91,Right-footed shot,
91,Right-footed shot,
91,Right-footed shot,
91,Right-footed shot,
91,Right-footed shot,
91,Right-footed shot,
91,Right-footed shot,
91,Right-footed shot,
91,Right-footed shot,
92,Right-footed shot,
92,Solo run,
92,Solo run,
92,Solo run,
92,Solo run,
92,Tap-in,
92,Tap-in,
92,Tap-in,
92,Tap-in,
92,Tap-in,
93,Tap-in,
93,Tap-in,
94,Tap-in,
94,Tap-in,
94,Tap-in,
110,,
