Season,Competition,Matchday,Date,Home/Away,Opponent,Result,Position,Minute,Score,Type,Assist
,LaLiga,12,11/6/2011,A,Athletic (10.),2:02,CF,90',2:02,Left-footed shot,
,LaLiga,13,11/19/2011,H,Real Zaragoza (16.),4:00,CF,43',2:00,Right-footed shot,Cesc Fàbregas
,Champions League,Group Stage,11/23/2011,A,AC Milan,2:03,RW,31',1:02,Penalty,
,LaLiga,17,11/29/2011,H,Rayo Vallecano (15.),4:00,CF,49',4:00,Left-footed shot,Dani Alves
,LaLiga,15,12/3/2011,H,Levante (4.),5:00,CF,55',4:00,Left-footed shot,Dani Alves
,Club World Cup,Final,12/18/2011,A,Santos FC,0:04,RW,17',0:01,Left-footed shot,Xavi
,,,,,,,,82',0:04,Left-footed shot,Dani Alves
,Copa del Rey,last 16,1/4/2012,H,CA Osasuna,4:00,CF,71',3:00,Header,Cesc Fàbregas
,,,,,,,,90',4:00,Left-footed shot,Xavi
,LaLiga,19,1/15/2012,H,Real Betis (11.),4:02,CF,12',2:00,Right-footed shot,Alexis Sánchez
,,,,,,,,86',4:02,Penalty,
,LaLiga,1,1/22/2012,A,Málaga CF (4.),1:04,CF,32',0:01,Header,Adriano
,,,,,,,,51',0:03,Left-footed shot,Thiago
,,,,,,,,77',0:04,Left-footed shot,Pedro
,LaLiga,22,2/4/2012,H,Real Sociedad (13.),2:01,CF,72',2:00,Left-footed shot,Dani Alves
,Champions League,last 16,2/14/2012,A,Bay. Leverkusen,1:03,CF,88',1:03,Left-footed shot,Dani Alves
,LaLiga,24,2/19/2012,H,Valencia (3.),5:01,CF,21',1:01,Left-footed shot,
,,,,,,,,27',2:01,Tap-in,
,,,,,,,,75',3:01,Left-footed shot,
,,,,,,,,84',4:01,Left-footed shot,Sergio Busquets
,LaLiga,25,2/26/2012,A,Atlético Madrid (5.),1:02,CF,79',1:02,Direct free kick,
,Champions League,last 16,3/7/2012,H,Bay. Leverkusen,7:01,CF,25',1:00,Left-footed shot,Xavi
,,,,,,,,42',2:00,Left-footed shot,Andrés Iniesta
